Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-29 09:15:00+05:30,80.9,81.0,80.8,80.9,0,0,0
2019-11-29 09:16:00+05:30,80.9,81.05,80.7,80.75,148136,0,0
2019-11-29 09:17:00+05:30,80.75,80.8,80.65,80.75,78555,0,0
2019-11-29 09:18:00+05:30,80.75,80.95,80.75,80.95,112338,0,0
2019-11-29 09:19:00+05:30,80.85,81.3,80.85,81.3,153854,0,0
2019-11-29 09:20:00+05:30,81.25,81.35,81.2,81.3,70196,0,0
2019-11-29 09:21:00+05:30,81.2,81.35,81.2,81.35,64117,0,0
2019-11-29 09:22:00+05:30,81.4,81.4,81.25,81.25,50021,0,0
2019-11-29 09:23:00+05:30,81.25,81.4,81.15,81.35,72958,0,0
2019-11-29 09:24:00+05:30,81.35,81.35,81.15,81.25,46570,0,0
2019-11-29 09:25:00+05:30,81.2,81.25,81.2,81.2,44198,0,0
2019-11-29 09:26:00+05:30,81.25,81.25,81.15,81.2,55655,0,0
2019-11-29 09:27:00+05:30,81.25,81.25,81.15,81.2,28386,0,0
2019-11-29 09:28:00+05:30,81.25,81.25,81.2,81.25,32552,0,0
2019-11-29 09:29:00+05:30,81.25,81.3,81.15,81.15,34513,0,0
2019-11-29 09:30:00+05:30,81.2,81.25,81.1,81.1,97827,0,0
2019-11-29 09:31:00+05:30,81.1,81.25,81.05,81.2,83536,0,0
2019-11-29 09:32:00+05:30,81.2,81.2,81.15,81.15,13906,0,0
2019-11-29 09:33:00+05:30,81.15,81.35,81.15,81.3,44849,0,0
2019-11-29 09:34:00+05:30,81.25,81.35,81.25,81.25,40987,0,0
2019-11-29 09:35:00+05:30,81.3,81.3,81.25,81.3,12911,0,0
2019-11-29 09:36:00+05:30,81.3,81.3,81.25,81.3,14596,0,0
2019-11-29 09:37:00+05:30,81.3,81.3,81.25,81.25,19864,0,0
2019-11-29 09:38:00+05:30,81.25,81.35,81.25,81.3,39093,0,0
2019-11-29 09:39:00+05:30,81.3,81.35,81.3,81.3,12034,0,0
2019-11-29 09:40:00+05:30,81.35,81.35,81.3,81.3,17010,0,0
2019-11-29 09:41:00+05:30,81.35,81.55,81.35,81.55,106330,0,0
2019-11-29 09:42:00+05:30,81.5,81.9,81.5,81.9,245792,0,0
2019-11-29 09:43:00+05:30,81.85,82.05,81.85,81.9,144538,0,0
2019-11-29 09:44:00+05:30,81.95,81.95,81.8,81.8,121075,0,0
2019-11-29 09:45:00+05:30,81.85,81.85,81.65,81.7,84722,0,0
2019-11-29 09:46:00+05:30,81.65,81.7,81.55,81.65,63476,0,0
2019-11-29 09:47:00+05:30,81.65,81.8,81.6,81.8,66133,0,0
2019-11-29 09:48:00+05:30,81.8,81.8,81.7,81.75,41807,0,0
2019-11-29 09:49:00+05:30,81.75,81.85,81.7,81.85,39399,0,0
2019-11-29 09:50:00+05:30,81.85,81.85,81.8,81.8,23681,0,0
2019-11-29 09:51:00+05:30,81.85,81.85,81.65,81.7,74569,0,0
2019-11-29 09:52:00+05:30,81.65,81.7,81.6,81.65,29010,0,0
2019-11-29 09:53:00+05:30,81.65,81.7,81.65,81.65,6058,0,0
2019-11-29 09:54:00+05:30,81.65,81.75,81.65,81.7,14736,0,0
2019-11-29 09:55:00+05:30,81.7,81.75,81.5,81.5,73388,0,0
2019-11-29 09:56:00+05:30,81.5,81.55,81.35,81.35,90151,0,0
2019-11-29 09:57:00+05:30,81.35,81.4,81.3,81.4,68835,0,0
2019-11-29 09:58:00+05:30,81.4,81.4,81.3,81.3,12894,0,0
2019-11-29 09:59:00+05:30,81.35,81.4,80.9,81.0,373319,0,0
2019-11-29 10:00:00+05:30,81.0,81.1,81.0,81.05,86762,0,0
2019-11-29 10:01:00+05:30,81.1,81.1,80.8,80.9,178996,0,0
2019-11-29 10:02:00+05:30,80.9,80.95,80.85,80.85,320432,0,0
2019-11-29 10:03:00+05:30,80.85,80.95,80.75,80.75,527258,0,0
2019-11-29 10:04:00+05:30,80.85,80.95,80.8,80.95,189724,0,0
2019-11-29 10:05:00+05:30,80.95,81.0,80.75,80.85,178671,0,0
2019-11-29 10:06:00+05:30,80.85,80.9,80.8,80.9,31014,0,0
2019-11-29 10:07:00+05:30,80.9,81.0,80.85,80.9,34569,0,0
2019-11-29 10:08:00+05:30,80.9,80.95,80.9,80.95,35687,0,0
2019-11-29 10:09:00+05:30,80.95,81.0,80.9,80.9,25233,0,0
2019-11-29 10:10:00+05:30,80.95,80.95,80.9,80.9,18625,0,0
2019-11-29 10:11:00+05:30,80.95,81.0,80.9,80.95,43374,0,0
2019-11-29 10:12:00+05:30,80.95,81.0,80.95,81.0,11735,0,0
2019-11-29 10:13:00+05:30,81.0,81.05,81.0,81.05,18897,0,0
2019-11-29 10:14:00+05:30,81.05,81.05,81.0,81.0,54412,0,0
2019-11-29 10:15:00+05:30,81.05,81.05,81.0,81.0,12329,0,0
2019-11-29 10:16:00+05:30,81.0,81.1,81.0,81.05,31652,0,0
2019-11-29 10:17:00+05:30,81.1,81.1,81.0,81.0,11343,0,0
2019-11-29 10:18:00+05:30,81.05,81.05,81.0,81.05,24852,0,0
2019-11-29 10:19:00+05:30,81.05,81.15,81.0,81.15,43743,0,0
2019-11-29 10:20:00+05:30,81.15,81.15,81.1,81.15,26549,0,0
2019-11-29 10:21:00+05:30,81.15,81.15,81.1,81.1,12974,0,0
2019-11-29 10:22:00+05:30,81.15,81.2,81.1,81.2,30659,0,0
2019-11-29 10:23:00+05:30,81.2,81.2,81.15,81.2,22090,0,0
2019-11-29 10:24:00+05:30,81.2,81.2,81.15,81.2,10595,0,0
2019-11-29 10:25:00+05:30,81.15,81.2,81.1,81.1,18205,0,0
2019-11-29 10:26:00+05:30,81.1,81.4,81.1,81.4,105446,0,0
2019-11-29 10:27:00+05:30,81.4,81.4,81.1,81.25,63880,0,0
2019-11-29 10:28:00+05:30,81.25,81.3,81.2,81.3,7738,0,0
2019-11-29 10:29:00+05:30,81.3,81.3,81.25,81.3,32617,0,0
2019-11-29 10:30:00+05:30,81.3,81.3,81.25,81.3,19270,0,0
2019-11-29 10:31:00+05:30,81.3,81.3,81.2,81.25,11406,0,0
2019-11-29 10:32:00+05:30,81.25,81.25,81.15,81.2,13237,0,0
2019-11-29 10:33:00+05:30,81.1,81.2,81.1,81.15,19187,0,0
2019-11-29 10:34:00+05:30,81.2,81.2,81.15,81.2,8032,0,0
2019-11-29 10:35:00+05:30,81.2,81.2,81.1,81.1,2791,0,0
2019-11-29 10:36:00+05:30,81.15,81.2,81.1,81.15,12490,0,0
2019-11-29 10:37:00+05:30,81.2,81.2,81.15,81.15,6565,0,0
2019-11-29 10:38:00+05:30,81.2,81.2,81.15,81.2,2372,0,0
2019-11-29 10:39:00+05:30,81.2,81.2,81.1,81.1,10060,0,0
2019-11-29 10:40:00+05:30,81.2,81.2,81.1,81.15,3214,0,0
2019-11-29 10:41:00+05:30,81.15,81.15,81.1,81.15,8162,0,0
2019-11-29 10:42:00+05:30,81.15,81.15,81.1,81.1,14845,0,0
2019-11-29 10:43:00+05:30,81.1,81.15,81.1,81.15,6377,0,0
2019-11-29 10:44:00+05:30,81.15,81.15,81.1,81.15,13302,0,0
2019-11-29 10:45:00+05:30,81.1,81.15,81.05,81.1,11681,0,0
2019-11-29 10:46:00+05:30,81.15,81.15,81.1,81.1,9143,0,0
2019-11-29 10:47:00+05:30,81.15,81.15,81.1,81.1,11611,0,0
2019-11-29 10:48:00+05:30,81.15,81.15,81.1,81.15,7921,0,0
2019-11-29 10:49:00+05:30,81.15,81.15,81.05,81.1,17411,0,0
2019-11-29 10:50:00+05:30,81.05,81.1,81.05,81.1,12004,0,0
2019-11-29 10:51:00+05:30,81.05,81.1,80.9,80.95,75113,0,0
2019-11-29 10:52:00+05:30,80.95,81.0,80.9,81.0,25187,0,0
2019-11-29 10:53:00+05:30,81.0,81.0,80.9,80.95,12946,0,0
2019-11-29 10:54:00+05:30,80.95,80.95,80.9,80.9,12857,0,0
2019-11-29 10:55:00+05:30,80.95,80.95,80.9,80.95,8865,0,0
2019-11-29 10:56:00+05:30,80.9,80.95,80.9,80.9,17685,0,0
2019-11-29 10:57:00+05:30,80.95,80.95,80.9,80.95,7644,0,0
2019-11-29 10:58:00+05:30,80.9,80.95,80.9,80.9,18003,0,0
2019-11-29 10:59:00+05:30,80.95,80.95,80.9,80.95,30102,0,0
2019-11-29 11:00:00+05:30,80.95,80.95,80.9,80.95,6293,0,0
2019-11-29 11:01:00+05:30,80.95,80.95,80.9,80.95,7406,0,0
2019-11-29 11:02:00+05:30,80.9,80.95,80.9,80.9,8606,0,0
2019-11-29 11:03:00+05:30,80.95,80.95,80.9,80.9,13759,0,0
2019-11-29 11:04:00+05:30,80.95,80.95,80.75,80.8,183460,0,0
2019-11-29 11:05:00+05:30,80.8,80.8,80.75,80.75,31344,0,0
2019-11-29 11:06:00+05:30,80.8,80.8,80.7,80.8,64733,0,0
2019-11-29 11:07:00+05:30,80.85,80.85,80.75,80.8,10985,0,0
2019-11-29 11:08:00+05:30,80.8,80.8,80.75,80.8,8870,0,0
2019-11-29 11:09:00+05:30,80.8,80.8,80.7,80.75,20551,0,0
2019-11-29 11:10:00+05:30,80.75,80.75,80.35,80.5,295259,0,0
