SYMBOL
^NSEI
ACC.NS
ADANIENT.NS
ADANIPORTS.NS
ADANIPOWER.NS
AMARAJABAT.NS
AMBUJACEM.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BALKRISIND.NS
BANKBARODA.NS
BATAINDIA.NS
BERGEPAINT.NS
BEL.NS
BHARATFORG.NS
BPCL.NS
BHARTIARTL.NS
INFRATEL.NS
BHEL.NS
BIOCON.NS
BOSCHLTD.NS
BRITANNIA.NS
CADILAHC.NS
CANBK.NS
CASTROLIND.NS
CENTURYTEX.NS
CESC.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COLPAL.NS
CONCOR.NS
CUMMINSIND.NS
DABUR.NS
DISHTV.NS
DIVISLAB.NS
DLF.NS
DRREDDY.NS
EICHERMOT.NS
EQUITAS.NS
ESCORTS.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GLENMARK.NS
GMRINFRA.NS
GODREJCP.NS
GRASIM.NS
HAVELLS.NS
HCLTECH.NS
HDFCBANK.NS
HDFC.NS
HEROMOTOCO.NS
HEXAWARE.NS
HINDALCO.NS
HINDPETRO.NS
HINDUNILVR.NS
ICICIBANK.NS
ICICIPRULI.NS
IDEA.NS
IDFCFIRSTB.NS
IBULHSGFIN.NS
IOC.NS
IGL.NS
INDUSINDBK.NS
INFY.NS
INDIGO.NS
ITC.NS
JINDALSTEL.NS
JSWSTEEL.NS
JUBLFOOD.NS
JUSTDIAL.NS
KOTAKBANK.NS
L&TFH.NS
LT.NS
LICHSGFIN.NS
LUPIN.NS
M&MFIN.NS
MGL.NS
M&M.NS
MANAPPURAM.NS
MARICO.NS
MARUTI.NS
MFSL.NS
MINDTREE.NS
MOTHERSUMI.NS
MRF.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NBCC.NS
NCC.NS
NESTLEIND.NS
NIITTECH.NS
NMDC.NS
NTPC.NS
ONGC.NS
OIL.NS
PAGEIND.NS
PETRONET.NS
PIDILITIND.NS
PEL.NS
PFC.NS
POWERGRID.NS
PNB.NS
PVR.NS
RBLBANK.NS
RELIANCE.NS
RECLTD.NS
SHREECEM.NS
SRTRANSFIN.NS
SIEMENS.NS
SRF.NS
SBIN.NS
SAIL.NS
SUNPHARMA.NS
SUNTV.NS
TATACHEM.NS
TCS.NS
TATAELXSI.NS
TATAGLOBAL.NS
TATAMTRDVR.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TECHM.NS
RAMCOCEM.NS
TITAN.NS
TORNTPHARM.NS
TORNTPOWER.NS
TVSMOTOR.NS
UJJIVAN.NS
ULTRACEMCO.NS
UNIONBANK.NS
UBL.NS
MCDOWELL-N.NS
UPL.NS
VEDL.NS
VOLTAS.NS
WIPRO.NS
YESBANK.NS
ZEEL.NS
